em [gr/hr],Date
1.2334430959645426,2021-03-17 00:00:00
0.692343618152466,2021-03-17 01:00:00
0.35655996394165,2021-03-17 02:00:00
0.20795720581588276,2021-03-17 03:00:00
0.1717313546579903,2021-03-17 04:00:00
0.259545451868015,2021-03-17 05:00:00
0.5172652437608104,2021-03-17 06:00:00
2.409915498253765,2021-03-17 07:00:00
3.9551429973144545,2021-03-17 08:00:00
3.9553701913286297,2021-03-17 09:00:00
3.6148068471857977,2021-03-17 10:00:00
3.6296276807188717,2021-03-17 11:00:00
3.696141740015351,2021-03-17 12:00:00
3.771575500171257,2021-03-17 13:00:00
3.788621199153532,2021-03-17 14:00:00
3.7339206714108473,2021-03-17 15:00:00
3.9806472229976073,2021-03-17 16:00:00
4.294547175623201,2021-03-17 17:00:00
4.7244911384914285,2021-03-17 18:00:00
4.662502531521463,2021-03-17 19:00:00
4.17098889986979,2021-03-17 20:00:00
3.592894629072174,2021-03-17 21:00:00
2.715024957747473,2021-03-17 22:00:00
2.0555182010866204,2021-03-17 23:00:00
1.2334430959645426,2021-03-18 00:00:00
0.692343618152466,2021-03-18 01:00:00
0.35655996394165,2021-03-18 02:00:00
0.20795720581588276,2021-03-18 03:00:00
0.1717313546579903,2021-03-18 04:00:00
0.259545451868015,2021-03-18 05:00:00
0.5172652437608104,2021-03-18 06:00:00
2.409915498253765,2021-03-18 07:00:00
3.9551429973144545,2021-03-18 08:00:00
3.9553701913286297,2021-03-18 09:00:00
3.6148068471857977,2021-03-18 10:00:00
3.6296276807188717,2021-03-18 11:00:00
3.696141740015351,2021-03-18 12:00:00
3.771575500171257,2021-03-18 13:00:00
3.788621199153532,2021-03-18 14:00:00
3.7339206714108473,2021-03-18 15:00:00
3.9806472229976073,2021-03-18 16:00:00
4.294547175623201,2021-03-18 17:00:00
4.7244911384914285,2021-03-18 18:00:00
4.662502531521463,2021-03-18 19:00:00
4.17098889986979,2021-03-18 20:00:00
3.592894629072174,2021-03-18 21:00:00
2.715024957747473,2021-03-18 22:00:00
2.0555182010866204,2021-03-18 23:00:00
1.792778141016686,2021-03-19 00:00:00
0.900817598039692,2021-03-19 01:00:00
0.5118342929641778,2021-03-19 02:00:00
0.316491097262524,2021-03-19 03:00:00
0.26721698799182747,2021-03-19 04:00:00
0.3355532737566214,2021-03-19 05:00:00
0.5636149084764002,2021-03-19 06:00:00
1.5251064865677193,2021-03-19 07:00:00
3.9314068206529833,2021-03-19 08:00:00
4.258239146459393,2021-03-19 09:00:00
3.651890260473434,2021-03-19 10:00:00
3.580043805657773,2021-03-19 11:00:00
3.702786638203527,2021-03-19 12:00:00
3.9766925092535192,2021-03-19 13:00:00
4.059235659578251,2021-03-19 14:00:00
3.890548722599287,2021-03-19 15:00:00
4.137483751420998,2021-03-19 16:00:00
4.50878926131226,2021-03-19 17:00:00
4.949588466604846,2021-03-19 18:00:00
4.99720209872152,2021-03-19 19:00:00
4.776409365273153,2021-03-19 20:00:00
4.207154959942724,2021-03-19 21:00:00
3.477884173495311,2021-03-19 22:00:00
2.9392420318158448,2021-03-19 23:00:00
2.2128019377255463,2021-03-20 00:00:00
1.871413905718126,2021-03-20 01:00:00
1.3236867480519399,2021-03-20 02:00:00
0.9944325583268188,2021-03-20 03:00:00
0.7920731654363578,2021-03-20 04:00:00
0.7481399971757736,2021-03-20 05:00:00
0.7954560011846871,2021-03-20 06:00:00
1.0194480827087185,2021-03-20 07:00:00
1.6932506519513832,2021-03-20 08:00:00
2.4742535000786594,2021-03-20 09:00:00
2.803153082400437,2021-03-20 10:00:00
3.0986724136081785,2021-03-20 11:00:00
3.6685030182397695,2021-03-20 12:00:00
4.266050919316258,2021-03-20 13:00:00
4.627189919435616,2021-03-20 14:00:00
4.192698310205712,2021-03-20 15:00:00
3.652622691526009,2021-03-20 16:00:00
3.7134575309437237,2021-03-20 17:00:00
3.8011869472069897,2021-03-20 18:00:00
3.795360774248667,2021-03-20 19:00:00
3.3782149855693366,2021-03-20 20:00:00
3.0848033732012983,2021-03-20 21:00:00
3.0707818670062204,2021-03-20 22:00:00
2.6707259637753693,2021-03-20 23:00:00
1.6393290256127864,2021-03-21 00:00:00
1.7709610238874636,2021-03-21 01:00:00
1.3297774988838529,2021-03-21 02:00:00
1.0518156065168869,2021-03-21 03:00:00
0.8962983764079744,2021-03-21 04:00:00
0.8116205268666966,2021-03-21 05:00:00
0.7805808996568853,2021-03-21 06:00:00
0.6850253389979857,2021-03-21 07:00:00
0.8357025888879416,2021-03-21 08:00:00
1.130654510106338,2021-03-21 09:00:00
1.3826233381178032,2021-03-21 10:00:00
1.7226759617496903,2021-03-21 11:00:00
2.2263858548794637,2021-03-21 12:00:00
2.802813971626688,2021-03-21 13:00:00
3.300115701263243,2021-03-21 14:00:00
2.945114629253983,2021-03-21 15:00:00
2.6552136682055547,2021-03-21 16:00:00
2.9235592221264,2021-03-21 17:00:00
3.1957176114700134,2021-03-21 18:00:00
3.1572004659519686,2021-03-21 19:00:00
2.8407119214427956,2021-03-21 20:00:00
2.786795690307912,2021-03-21 21:00:00
2.6597198183953727,2021-03-21 22:00:00
1.889518507383523,2021-03-21 23:00:00
1.2334430959645426,2021-03-22 00:00:00
0.692343618152466,2021-03-22 01:00:00
0.35655996394165,2021-03-22 02:00:00
0.20795720581588276,2021-03-22 03:00:00
0.1717313546579903,2021-03-22 04:00:00
0.259545451868015,2021-03-22 05:00:00
0.5172652437608104,2021-03-22 06:00:00
2.409915498253765,2021-03-22 07:00:00
3.9551429973144545,2021-03-22 08:00:00
3.9553701913286297,2021-03-22 09:00:00
3.6148068471857977,2021-03-22 10:00:00
3.6296276807188717,2021-03-22 11:00:00
3.696141740015351,2021-03-22 12:00:00
3.771575500171257,2021-03-22 13:00:00
3.788621199153532,2021-03-22 14:00:00
3.7339206714108473,2021-03-22 15:00:00
3.9806472229976073,2021-03-22 16:00:00
4.294547175623201,2021-03-22 17:00:00
4.7244911384914285,2021-03-22 18:00:00
4.662502531521463,2021-03-22 19:00:00
4.17098889986979,2021-03-22 20:00:00
3.592894629072174,2021-03-22 21:00:00
2.715024957747473,2021-03-22 22:00:00
2.0555182010866204,2021-03-22 23:00:00
1.2334430959645426,2021-03-23 00:00:00
0.692343618152466,2021-03-23 01:00:00
0.35655996394165,2021-03-23 02:00:00
0.20795720581588276,2021-03-23 03:00:00
0.1717313546579903,2021-03-23 04:00:00
0.259545451868015,2021-03-23 05:00:00
0.5172652437608104,2021-03-23 06:00:00
2.409915498253765,2021-03-23 07:00:00
3.9551429973144545,2021-03-23 08:00:00
3.9553701913286297,2021-03-23 09:00:00
3.6148068471857977,2021-03-23 10:00:00
3.6296276807188717,2021-03-23 11:00:00
3.696141740015351,2021-03-23 12:00:00
3.771575500171257,2021-03-23 13:00:00
3.788621199153532,2021-03-23 14:00:00
3.7339206714108473,2021-03-23 15:00:00
3.9806472229976073,2021-03-23 16:00:00
4.294547175623201,2021-03-23 17:00:00
4.7244911384914285,2021-03-23 18:00:00
4.662502531521463,2021-03-23 19:00:00
4.17098889986979,2021-03-23 20:00:00
3.592894629072174,2021-03-23 21:00:00
2.715024957747473,2021-03-23 22:00:00
2.0555182010866204,2021-03-23 23:00:00
1.2334430959645426,2021-03-24 00:00:00
0.692343618152466,2021-03-24 01:00:00
0.35655996394165,2021-03-24 02:00:00
0.20795720581588276,2021-03-24 03:00:00
0.1717313546579903,2021-03-24 04:00:00
0.259545451868015,2021-03-24 05:00:00
0.5172652437608104,2021-03-24 06:00:00
