em [gr/yr],Date
10.251689466461276,2021-01-29 00:00:00
4.351614647850518,2021-01-29 01:00:00
2.1609131375582074,2021-01-29 02:00:00
1.4123367256674184,2021-01-29 03:00:00
1.2539532527730688,2021-01-29 04:00:00
1.5651043298096057,2021-01-29 05:00:00
8.160837584622097,2021-01-29 06:00:00
17.25376499302712,2021-01-29 07:00:00
32.80647584053746,2021-01-29 08:00:00
37.39501044020362,2021-01-29 09:00:00
34.29596119515911,2021-01-29 10:00:00
33.34112005857367,2021-01-29 11:00:00
34.56656721380092,2021-01-29 12:00:00
31.06745351080179,2021-01-29 13:00:00
31.804834622575335,2021-01-29 14:00:00
30.44123720085987,2021-01-29 15:00:00
37.719095739144116,2021-01-29 16:00:00
40.71703341132434,2021-01-29 17:00:00
47.91813749024852,2021-01-29 18:00:00
37.38778869220912,2021-01-29 19:00:00
36.01392595589918,2021-01-29 20:00:00
29.589458851385896,2021-01-29 21:00:00
21.858585837809258,2021-01-29 22:00:00
18.234062475758503,2021-01-29 23:00:00
15.616718454370861,2021-01-30 00:00:00
14.335671281767638,2021-01-30 01:00:00
9.410286622681513,2021-01-30 02:00:00
6.733307830740706,2021-01-30 03:00:00
5.229994658165226,2021-01-30 04:00:00
4.736255770785585,2021-01-30 05:00:00
8.023549442642837,2021-01-30 06:00:00
11.060284449303243,2021-01-30 07:00:00
16.559916804268006,2021-01-30 08:00:00
20.196235595702138,2021-01-30 09:00:00
19.78244694256181,2021-01-30 10:00:00
21.581286512435604,2021-01-30 11:00:00
29.56597829502011,2021-01-30 12:00:00
38.520960164273724,2021-01-30 13:00:00
41.38569321892732,2021-01-30 14:00:00
32.646936722073235,2021-01-30 15:00:00
23.31266118921053,2021-01-30 16:00:00
23.61174787198621,2021-01-30 17:00:00
23.96503474554403,2021-01-30 18:00:00
23.811688030853126,2021-01-30 19:00:00
21.474550626709796,2021-01-30 20:00:00
19.207441796433052,2021-01-30 21:00:00
19.240657774803072,2021-01-30 22:00:00
16.518532931650697,2021-01-30 23:00:00
13.77855256689734,2021-01-31 00:00:00
13.786719829582664,2021-01-31 01:00:00
9.344933281706563,2021-01-31 02:00:00
7.207203572134322,2021-01-31 03:00:00
5.886567309935191,2021-01-31 04:00:00
5.296204406363186,2021-01-31 05:00:00
7.705432966090948,2021-01-31 06:00:00
7.0586496721184115,2021-01-31 07:00:00
8.202399918641202,2021-01-31 08:00:00
10.444108638319843,2021-01-31 09:00:00
11.364925961917578,2021-01-31 10:00:00
11.823191701789508,2021-01-31 11:00:00
14.61537430363694,2021-01-31 12:00:00
22.126441265063256,2021-01-31 13:00:00
30.10589144287792,2021-01-31 14:00:00
27.11636248205217,2021-01-31 15:00:00
24.56780799453287,2021-01-31 16:00:00
27.16373684470783,2021-01-31 17:00:00
29.31176562184286,2021-01-31 18:00:00
24.464047675346535,2021-01-31 19:00:00
17.784116090398733,2021-01-31 20:00:00
16.932541969397057,2021-01-31 21:00:00
19.84018209922553,2021-01-31 22:00:00
17.11974694650081,2021-01-31 23:00:00
7.353884510001796,2021-02-01 00:00:00
3.3374058999474947,2021-02-01 01:00:00
1.547829505304366,2021-02-01 02:00:00
1.065703597863029,2021-02-01 03:00:00
0.9498435113013131,2021-02-01 04:00:00
1.3258390947708676,2021-02-01 05:00:00
7.988919352119629,2021-02-01 06:00:00
19.44306948800713,2021-02-01 07:00:00
33.16156345290538,2021-02-01 08:00:00
36.32744034905879,2021-02-01 09:00:00
33.71065765718907,2021-02-01 10:00:00
32.86733938692492,2021-02-01 11:00:00
33.79001064182275,2021-02-01 12:00:00
29.149031289593303,2021-02-01 13:00:00
29.98421914864619,2021-02-01 14:00:00
28.846378673283702,2021-02-01 15:00:00
36.37164170902855,2021-02-01 16:00:00
38.74703196545862,2021-02-01 17:00:00
46.17700454437052,2021-02-01 18:00:00
36.751748615888474,2021-02-01 19:00:00
34.03904483564398,2021-02-01 20:00:00
26.04940141297329,2021-02-01 21:00:00
17.887213285089505,2021-02-01 22:00:00
13.412187530811712,2021-02-01 23:00:00
7.353884510001796,2021-02-02 00:00:00
3.3374058999474947,2021-02-02 01:00:00
1.547829505304366,2021-02-02 02:00:00
1.065703597863029,2021-02-02 03:00:00
0.9498435113013131,2021-02-02 04:00:00
1.3258390947708676,2021-02-02 05:00:00
7.988919352119629,2021-02-02 06:00:00
19.44306948800713,2021-02-02 07:00:00
33.16156345290538,2021-02-02 08:00:00
36.32744034905879,2021-02-02 09:00:00
33.71065765718907,2021-02-02 10:00:00
32.86733938692492,2021-02-02 11:00:00
33.79001064182275,2021-02-02 12:00:00
29.149031289593303,2021-02-02 13:00:00
29.98421914864619,2021-02-02 14:00:00
28.846378673283702,2021-02-02 15:00:00
36.37164170902855,2021-02-02 16:00:00
38.74703196545862,2021-02-02 17:00:00
46.17700454437052,2021-02-02 18:00:00
36.751748615888474,2021-02-02 19:00:00
34.03904483564398,2021-02-02 20:00:00
26.04940141297329,2021-02-02 21:00:00
17.887213285089505,2021-02-02 22:00:00
13.412187530811712,2021-02-02 23:00:00
