em [gr/yr],Date
2.8434834324235525,2021-01-29 00:00:00
1.3960455112472046,2021-01-29 01:00:00
0.7832776860528485,2021-01-29 02:00:00
0.4923245723218356,2021-01-29 03:00:00
0.4198028187149372,2021-01-29 04:00:00
0.5235797851153501,2021-01-29 05:00:00
1.1960210082254865,2021-01-29 06:00:00
2.907686855149321,2021-01-29 07:00:00
6.729890682038951,2021-01-29 08:00:00
7.35330200514714,2021-01-29 09:00:00
6.406839755209193,2021-01-29 10:00:00
6.259959824946062,2021-01-29 11:00:00
6.475679300617834,2021-01-29 12:00:00
6.579575061072884,2021-01-29 13:00:00
6.717765102628607,2021-01-29 14:00:00
6.432503578990205,2021-01-29 15:00:00
7.179426529196617,2021-01-29 16:00:00
7.80319834468512,2021-01-29 17:00:00
8.758756391596924,2021-01-29 18:00:00
8.359612342019195,2021-01-29 19:00:00
8.012864455190048,2021-01-29 20:00:00
6.934205011057654,2021-01-29 21:00:00
5.592638755046217,2021-01-29 22:00:00
4.720418108960995,2021-01-29 23:00:00
3.6460015007167015,2021-01-30 00:00:00
3.1043683275902856,2021-01-30 01:00:00
2.1612510538873613,2021-01-30 02:00:00
1.610469431009696,2021-01-30 03:00:00
1.281122469677636,2021-01-30 04:00:00
1.1993806284054704,2021-01-30 05:00:00
1.4521297511921853,2021-01-30 06:00:00
1.9015903628589892,2021-01-30 07:00:00
3.028660788248523,2021-01-30 08:00:00
4.226961580678099,2021-01-30 09:00:00
4.667253951236894,2021-01-30 10:00:00
5.144319843602769,2021-01-30 11:00:00
6.2286907709436665,2021-01-30 12:00:00
7.3892883578235224,2021-01-30 13:00:00
7.986187454258177,2021-01-30 14:00:00
7.060969925245253,2021-01-30 15:00:00
5.964988411923935,2021-01-30 16:00:00
6.062766149634817,2021-01-30 17:00:00
6.189482083641934,2021-01-30 18:00:00
6.172722471709449,2021-01-30 19:00:00
5.51731957411168,2021-01-30 20:00:00
5.019018297657432,2021-01-30 21:00:00
4.999531169455464,2021-01-30 22:00:00
4.335062942154325,2021-01-30 23:00:00
2.7985383758815447,2021-01-31 00:00:00
2.953686259228923,2021-01-31 01:00:00
2.1684036289356268,2021-01-31 02:00:00
1.7071109904188067,2021-01-31 03:00:00
1.445511420423267,2021-01-31 04:00:00
1.3100803215626031,2021-01-31 05:00:00
1.4149797368227528,2021-01-31 06:00:00
1.2621495112634122,2021-01-31 07:00:00
1.5123990596723096,2021-01-31 08:00:00
1.9972793016175558,2021-01-31 09:00:00
2.39096319378608,2021-01-31 10:00:00
2.8827885619452998,2021-01-31 11:00:00
3.681680821629449,2021-01-31 12:00:00
4.754884653595445,2021-01-31 13:00:00
5.733516196557642,2021-01-31 14:00:00
5.1429686696594,2021-01-31 15:00:00
4.643803896353071,2021-01-31 16:00:00
5.116183216665711,2021-01-31 17:00:00
5.567109949771632,2021-01-31 18:00:00
5.328156620744453,2021-01-31 19:00:00
4.644133505860065,2021-01-31 20:00:00
4.528196135075376,2021-01-31 21:00:00
4.455001126289645,2021-01-31 22:00:00
3.2896978676679414,2021-01-31 23:00:00
1.9803808251727069,2021-02-01 00:00:00
1.0770539161616735,2021-02-01 01:00:00
0.5514797011944864,2021-02-01 02:00:00
0.3336550838731546,2021-02-01 03:00:00
0.2788428408192254,2021-02-01 04:00:00
0.41206162891000797,2021-02-01 05:00:00
1.1281773568966684,2021-02-01 06:00:00
4.227667887791954,2021-02-01 07:00:00
6.779319034185331,2021-02-01 08:00:00
6.890205887205388,2021-02-01 09:00:00
6.33002124237106,2021-02-01 10:00:00
6.309367135462552,2021-02-01 11:00:00
6.441899349321985,2021-02-01 12:00:00
6.231120559512187,2021-02-01 13:00:00
6.288083622491408,2021-02-01 14:00:00
6.181975344260107,2021-02-01 15:00:00
6.938738371089285,2021-02-01 16:00:00
7.467575170610679,2021-02-01 17:00:00
8.412780319638095,2021-02-01 18:00:00
7.887990474613498,2021-02-01 19:00:00
7.111186261370895,2021-02-01 20:00:00
5.974003808144755,2021-02-01 21:00:00
4.416963624885192,2021-02-01 22:00:00
3.3465943375777165,2021-02-01 23:00:00
1.9803808251727069,2021-02-02 00:00:00
1.0770539161616735,2021-02-02 01:00:00
0.5514797011944864,2021-02-02 02:00:00
0.3336550838731546,2021-02-02 03:00:00
0.2788428408192254,2021-02-02 04:00:00
0.41206162891000797,2021-02-02 05:00:00
1.1281773568966684,2021-02-02 06:00:00
4.227667887791954,2021-02-02 07:00:00
6.779319034185331,2021-02-02 08:00:00
6.890205887205388,2021-02-02 09:00:00
6.33002124237106,2021-02-02 10:00:00
6.309367135462552,2021-02-02 11:00:00
6.441899349321985,2021-02-02 12:00:00
6.231120559512187,2021-02-02 13:00:00
6.288083622491408,2021-02-02 14:00:00
6.181975344260107,2021-02-02 15:00:00
6.938738371089285,2021-02-02 16:00:00
7.467575170610679,2021-02-02 17:00:00
8.412780319638095,2021-02-02 18:00:00
7.887990474613498,2021-02-02 19:00:00
7.111186261370895,2021-02-02 20:00:00
5.974003808144755,2021-02-02 21:00:00
4.416963624885192,2021-02-02 22:00:00
3.3465943375777165,2021-02-02 23:00:00
