em [gr/yr],Date
1.8678502084584512,2021-01-29 00:00:00
0.938539078435468,2021-01-29 01:00:00
0.5332672090843589,2021-01-29 02:00:00
0.32974406996991074,2021-01-29 03:00:00
0.27840662071901995,2021-01-29 04:00:00
0.34960446994185357,2021-01-29 05:00:00
0.5872160436760121,2021-01-29 06:00:00
1.5889697683050634,2021-01-29 07:00:00
4.096033277152083,2021-01-29 08:00:00
4.4365516483363105,2021-01-29 09:00:00
3.8048121094329543,2021-01-29 10:00:00
3.729957103780951,2021-01-29 11:00:00
3.8578397591956,2021-01-29 12:00:00
4.143215361529094,2021-01-29 13:00:00
4.2292149813266535,2021-01-29 14:00:00
4.0534643219584225,2021-01-29 15:00:00
4.310739688231577,2021-01-29 16:00:00
4.697593515784275,2021-01-29 17:00:00
5.1568510154565566,2021-01-29 18:00:00
5.206458455522329,2021-01-29 19:00:00
4.976420086160838,2021-01-29 20:00:00
4.383328344921599,2021-01-29 21:00:00
3.6235195706231385,2021-01-29 22:00:00
3.062321943241303,2021-01-29 23:00:00
2.305462387258654,2021-01-30 00:00:00
1.949778840992179,2021-01-30 01:00:00
1.3791157646584253,2021-01-30 02:00:00
1.0360741449145472,2021-01-30 03:00:00
0.825241007254294,2021-01-30 04:00:00
0.7794681494717608,2021-01-30 05:00:00
0.828765456214059,2021-01-30 06:00:00
1.062137129976645,2021-01-30 07:00:00
1.764154999312067,2021-01-30 08:00:00
2.577862130176017,2021-01-30 09:00:00
2.9205342934275795,2021-01-30 10:00:00
3.2284284156752223,2021-01-30 11:00:00
3.8221205216262257,2021-01-30 12:00:00
4.4446905792190075,2021-01-30 13:00:00
4.820952176635429,2021-01-30 14:00:00
4.368266348947756,2021-01-30 15:00:00
3.805575210011198,2021-01-30 16:00:00
3.8689574918528775,2021-01-30 17:00:00
3.960360556352046,2021-01-30 18:00:00
3.9542904139790678,2021-01-30 19:00:00
3.5196767583795414,2021-01-30 20:00:00
3.213978622110315,2021-01-30 21:00:00
3.199369969140936,2021-01-30 22:00:00
2.7825618408907697,2021-01-30 23:00:00
1.707975457610998,2021-01-31 00:00:00
1.845119526235606,2021-01-31 01:00:00
1.385461566009223,2021-01-31 02:00:00
1.0958600946832457,2021-01-31 03:00:00
0.9338306226841763,2021-01-31 04:00:00
0.8456069111277065,2021-01-31 05:00:00
0.8132674687962935,2021-01-31 06:00:00
0.7137105449152963,2021-01-31 07:00:00
0.8706973638346118,2021-01-31 08:00:00
1.1780003168685536,2021-01-31 09:00:00
1.440520261075953,2021-01-31 10:00:00
1.7948124962217697,2021-01-31 11:00:00
2.3196151047003752,2021-01-31 12:00:00
2.920180992715237,2021-01-31 13:00:00
3.4383070933949664,2021-01-31 14:00:00
3.0684404476446474,2021-01-31 15:00:00
2.7663999623697775,2021-01-31 16:00:00
3.045982413681715,2021-01-31 17:00:00
3.329537363092877,2021-01-31 18:00:00
3.2894073225383385,2021-01-31 19:00:00
2.9596659059463493,2021-01-31 20:00:00
2.903491951294272,2021-01-31 21:00:00
2.7710948157217055,2021-01-31 22:00:00
1.9686415394526076,2021-01-31 23:00:00
1.2850931598863735,2021-02-01 00:00:00
0.7213353071040494,2021-02-01 01:00:00
0.37149080958887865,2021-02-01 02:00:00
0.21666535121451688,2021-02-01 03:00:00
0.17892255235088275,2021-02-01 04:00:00
0.2704138410977997,2021-02-01 05:00:00
0.5389254993039096,2021-02-01 06:00:00
2.5108299177116997,2021-02-01 07:00:00
4.12076339978249,2021-02-01 08:00:00
4.121000137739189,2021-02-01 09:00:00
3.7661758382576576,2021-02-01 10:00:00
3.7816172901808187,2021-02-01 11:00:00
3.850916607695514,2021-02-01 12:00:00
3.9295091332458876,2021-02-01 13:00:00
3.947268613665509,2021-02-01 14:00:00
3.8902775135479786,2021-02-01 15:00:00
4.147335672658432,2021-02-01 16:00:00
4.474380100782819,2021-02-01 17:00:00
4.922327797694281,2021-02-01 18:00:00
4.857743434596589,2021-02-01 19:00:00
4.345647802742215,2021-02-01 20:00:00
3.7433460290635647,2021-02-01 21:00:00
2.8287158318304515,2021-02-01 22:00:00
2.141592416450141,2021-02-01 23:00:00
1.2850931598863735,2021-02-02 00:00:00
0.7213353071040494,2021-02-02 01:00:00
0.37149080958887865,2021-02-02 02:00:00
0.21666535121451688,2021-02-02 03:00:00
0.17892255235088275,2021-02-02 04:00:00
0.2704138410977997,2021-02-02 05:00:00
0.5389254993039096,2021-02-02 06:00:00
2.5108299177116997,2021-02-02 07:00:00
4.12076339978249,2021-02-02 08:00:00
4.121000137739189,2021-02-02 09:00:00
3.7661758382576576,2021-02-02 10:00:00
3.7816172901808187,2021-02-02 11:00:00
3.850916607695514,2021-02-02 12:00:00
3.9295091332458876,2021-02-02 13:00:00
3.947268613665509,2021-02-02 14:00:00
3.8902775135479786,2021-02-02 15:00:00
4.147335672658432,2021-02-02 16:00:00
4.474380100782819,2021-02-02 17:00:00
4.922327797694281,2021-02-02 18:00:00
4.857743434596589,2021-02-02 19:00:00
4.345647802742215,2021-02-02 20:00:00
3.7433460290635647,2021-02-02 21:00:00
2.8287158318304515,2021-02-02 22:00:00
2.141592416450141,2021-02-02 23:00:00
