em [gr/hr],Date
1.4466614276746403,2021-01-29 00:00:00
0.6854325143665483,2021-01-29 01:00:00
0.37233663454746874,2021-01-29 02:00:00
0.23252931296638893,2021-01-29 03:00:00
0.1989704070863354,2021-01-29 04:00:00
0.25044255281428696,2021-01-29 05:00:00
0.6769819516274931,2021-01-29 06:00:00
1.6258789013941648,2021-01-29 07:00:00
3.6835887955802438,2021-01-29 08:00:00
4.090510301633777,2021-01-29 09:00:00
3.6202625484122106,2021-01-29 10:00:00
3.537689585589444,2021-01-29 11:00:00
3.664022973044725,2021-01-29 12:00:00
3.664142467165271,2021-01-29 13:00:00
3.745732472363237,2021-01-29 14:00:00
3.5893868704369445,2021-01-29 15:00:00
4.0537951679378805,2021-01-29 16:00:00
4.399104663504346,2021-01-29 17:00:00
4.975553038702765,2021-01-29 18:00:00
4.464717059145979,2021-01-29 19:00:00
4.278062607081094,2021-01-29 20:00:00
3.66996267865628,2021-01-29 21:00:00
2.9100945599457813,2021-01-29 22:00:00
2.445718383661113,2021-01-29 23:00:00
1.9341786496590248,2021-01-30 00:00:00
1.702887034560626,2021-01-30 01:00:00
1.1682257695008333,2021-01-30 02:00:00
0.8600063128946625,2021-01-30 03:00:00
0.6767996820484851,2021-01-30 04:00:00
0.6294943700798111,2021-01-30 05:00:00
0.8057372547922546,2021-01-30 06:00:00
1.069979140246525,2021-01-30 07:00:00
1.7021637259447862,2021-01-30 08:00:00
2.2915466311239356,2021-01-30 09:00:00
2.433680203430916,2021-01-30 10:00:00
2.676477494631365,2021-01-30 11:00:00
3.3857940470190844,2021-01-30 12:00:00
4.159907874090711,2021-01-30 13:00:00
4.495724986023639,2021-01-30 14:00:00
3.813980412559655,2021-01-30 15:00:00
3.0486980806841792,2021-01-30 16:00:00
3.0941424657068737,2021-01-30 17:00:00
3.159396205513622,2021-01-30 18:00:00
3.149353749452248,2021-01-30 19:00:00
2.8138030446775133,2021-01-30 20:00:00
2.5494634627474517,2021-01-30 21:00:00
2.544671559480327,2021-01-30 22:00:00
2.20344551799407,2021-01-30 23:00:00
1.5451079307799898,2021-01-31 00:00:00
1.620568991096686,2021-01-31 01:00:00
1.1674040264983718,2021-01-31 02:00:00
0.9139857931569763,2021-01-31 03:00:00
0.7651988412797979,2021-01-31 04:00:00
0.6902710447265963,2021-01-31 05:00:00
0.7830099083002566,2021-01-31 06:00:00
0.6997343072052447,2021-01-31 07:00:00
0.8360507812740046,2021-01-31 08:00:00
1.1047679982465837,2021-01-31 09:00:00
1.2759179767131903,2021-01-31 10:00:00
1.46871555922846,2021-01-31 11:00:00
1.8693891822469726,2021-01-31 12:00:00
2.557745758391404,2021-01-31 13:00:00
3.232308523083912,2021-01-31 14:00:00
2.892078447632178,2021-01-31 15:00:00
2.6129273240498048,2021-01-31 16:00:00
2.8833925760292516,2021-01-31 17:00:00
3.1353813031952544,2021-01-31 18:00:00
2.860374518688393,2021-01-31 19:00:00
2.3465243781694984,2021-01-31 20:00:00
2.277618626369593,2021-01-31 21:00:00
2.3704957073265502,2021-01-31 22:00:00
1.8406090166866396,2021-01-31 23:00:00
1.0069219875616382,2021-02-01 00:00:00
0.5249473142096476,2021-02-01 01:00:00
0.2601976318103424,2021-02-01 02:00:00
0.15839384084580937,2021-02-01 03:00:00
0.13426729403233634,2021-02-01 04:00:00
0.19888936145107744,2021-02-01 05:00:00
0.6437797438691801,2021-02-01 06:00:00
2.1794230590867043,2021-02-01 07:00:00
3.7131684118259995,2021-02-01 08:00:00
3.883934904554218,2021-02-01 09:00:00
3.5719041263644398,2021-02-01 10:00:00
3.53782399929736,2021-02-01 11:00:00
3.617982798314297,2021-02-01 12:00:00
3.457451491324764,2021-02-01 13:00:00
3.509559586998735,2021-02-01 14:00:00
3.417733591061398,2021-02-01 15:00:00
3.894868905251207,2021-02-01 16:00:00
4.175822949648504,2021-02-01 17:00:00
4.760313766588013,2021-02-01 18:00:00
4.258560844092024,2021-02-01 19:00:00
3.8674378725140244,2021-02-01 20:00:00
3.167710250005829,2021-02-01 21:00:00
2.308585483588172,2021-02-01 22:00:00
1.738388377226354,2021-02-01 23:00:00
1.0069219875616382,2021-02-02 00:00:00
0.5249473142096476,2021-02-02 01:00:00
0.2601976318103424,2021-02-02 02:00:00
0.15839384084580937,2021-02-02 03:00:00
0.13426729403233634,2021-02-02 04:00:00
0.19888936145107744,2021-02-02 05:00:00
0.6437797438691801,2021-02-02 06:00:00
2.1794230590867043,2021-02-02 07:00:00
3.7131684118259995,2021-02-02 08:00:00
3.883934904554218,2021-02-02 09:00:00
3.5719041263644398,2021-02-02 10:00:00
3.53782399929736,2021-02-02 11:00:00
3.617982798314297,2021-02-02 12:00:00
3.457451491324764,2021-02-02 13:00:00
3.509559586998735,2021-02-02 14:00:00
3.417733591061398,2021-02-02 15:00:00
3.894868905251207,2021-02-02 16:00:00
4.175822949648504,2021-02-02 17:00:00
4.760313766588013,2021-02-02 18:00:00
4.258560844092024,2021-02-02 19:00:00
3.8674378725140244,2021-02-02 20:00:00
3.167710250005829,2021-02-02 21:00:00
2.308585483588172,2021-02-02 22:00:00
1.738388377226354,2021-02-02 23:00:00
