em [gr/hr],Date
2.195748868658033,2021-03-17 00:00:00
1.2508040367954478,2021-03-17 01:00:00
0.6533061731596763,2021-03-17 02:00:00
0.3831897142709998,2021-03-17 03:00:00
0.3151368718296863,2021-03-17 04:00:00
0.4732748332723197,2021-03-17 05:00:00
0.9082399753615595,2021-03-17 06:00:00
4.338212164354868,2021-03-17 07:00:00
6.831344800060847,2021-03-17 08:00:00
6.72468483466568,2021-03-17 09:00:00
6.146864587596474,2021-03-17 10:00:00
6.190314086852084,2021-03-17 11:00:00
6.299859388236665,2021-03-17 12:00:00
6.41935568059363,2021-03-17 13:00:00
6.429706184522802,2021-03-17 14:00:00
6.372009368153593,2021-03-17 15:00:00
6.787446753796156,2021-03-17 16:00:00
7.337994846993817,2021-03-17 17:00:00
8.041798682035324,2021-03-17 18:00:00
8.105549298379207,2021-03-17 19:00:00
7.228967115270086,2021-03-17 20:00:00
6.2924565421838246,2021-03-17 21:00:00
4.773799504221525,2021-03-17 22:00:00
3.6272090618307122,2021-03-17 23:00:00
2.195748868658033,2021-03-18 00:00:00
1.2508040367954478,2021-03-18 01:00:00
0.6533061731596763,2021-03-18 02:00:00
0.3831897142709998,2021-03-18 03:00:00
0.3151368718296863,2021-03-18 04:00:00
0.4732748332723197,2021-03-18 05:00:00
0.9082399753615595,2021-03-18 06:00:00
4.338212164354868,2021-03-18 07:00:00
6.831344800060847,2021-03-18 08:00:00
6.72468483466568,2021-03-18 09:00:00
6.146864587596474,2021-03-18 10:00:00
6.190314086852084,2021-03-18 11:00:00
6.299859388236665,2021-03-18 12:00:00
6.41935568059363,2021-03-18 13:00:00
6.429706184522802,2021-03-18 14:00:00
6.372009368153593,2021-03-18 15:00:00
6.787446753796156,2021-03-18 16:00:00
7.337994846993817,2021-03-18 17:00:00
8.041798682035324,2021-03-18 18:00:00
8.105549298379207,2021-03-18 19:00:00
7.228967115270086,2021-03-18 20:00:00
6.2924565421838246,2021-03-18 21:00:00
4.773799504221525,2021-03-18 22:00:00
3.6272090618307122,2021-03-18 23:00:00
3.182355887260509,2021-03-19 00:00:00
1.6202700134541261,2021-03-19 01:00:00
0.9323079355959758,2021-03-19 02:00:00
0.5803798801557226,2021-03-19 03:00:00
0.49034315872957557,2021-03-19 04:00:00
0.6121207267769335,2021-03-19 05:00:00
0.9907310819264237,2021-03-19 06:00:00
2.6500251139636326,2021-03-19 07:00:00
6.791632096700058,2021-03-19 08:00:00
7.29197368088968,2021-03-19 09:00:00
6.206089721926473,2021-03-19 10:00:00
6.080058148907776,2021-03-19 11:00:00
6.2835678274523,2021-03-19 12:00:00
6.754700176304638,2021-03-19 13:00:00
6.889819210974145,2021-03-19 14:00:00
6.599299336224685,2021-03-19 15:00:00
7.021711067314285,2021-03-19 16:00:00
7.656444808028558,2021-03-19 17:00:00
8.39336246115758,2021-03-19 18:00:00
8.725180134384402,2021-03-19 19:00:00
8.34591730388055,2021-03-19 20:00:00
7.363663793080047,2021-03-19 21:00:00
6.116141978762471,2021-03-19 22:00:00
5.179777420409511,2021-03-19 23:00:00
3.8675395631499487,2021-03-20 00:00:00
3.2101885785680335,2021-03-20 01:00:00
2.284333341129354,2021-03-20 02:00:00
1.7257476496574795,2021-03-20 03:00:00
1.382742157013518,2021-03-20 04:00:00
1.308603721534536,2021-03-20 05:00:00
1.3783288646746745,2021-03-20 06:00:00
1.7564204645450734,2021-03-20 07:00:00
2.897819540197199,2021-03-20 08:00:00
4.29834867828227,2021-03-20 09:00:00
4.9583155934037535,2021-03-20 10:00:00
5.484719532064191,2021-03-20 11:00:00
6.35514897348026,2021-03-20 12:00:00
7.252062842566848,2021-03-20 13:00:00
7.861427592297753,2021-03-20 14:00:00
7.2803371084113735,2021-03-20 15:00:00
6.507191642367826,2021-03-20 16:00:00
6.620462381782162,2021-03-20 17:00:00
6.7724147383843185,2021-03-20 18:00:00
6.7620961544861995,2021-03-20 19:00:00
6.02549672977633,2021-03-20 20:00:00
5.509614644586899,2021-03-20 21:00:00
5.479422130829011,2021-03-20 22:00:00
4.7660518929334295,2021-03-20 23:00:00
2.815104305959406,2021-03-21 00:00:00
3.0404242765527663,2021-03-21 01:00:00
2.299737287295551,2021-03-21 02:00:00
1.8233282848452275,2021-03-21 03:00:00
1.5620178940706528,2021-03-21 04:00:00
1.4184310079628086,2021-03-21 05:00:00
1.3532341370161662,2021-03-21 06:00:00
1.1897200655081765,2021-03-21 07:00:00
1.4493534869209919,2021-03-21 08:00:00
1.9513235279084071,2021-03-21 09:00:00
2.4309980347414606,2021-03-21 10:00:00
3.0902299719811497,2021-03-21 11:00:00
3.9910496691572335,2021-03-21 12:00:00
4.885912686441888,2021-03-21 13:00:00
5.607667316933298,2021-03-21 14:00:00
5.017278582563094,2021-03-21 15:00:00
4.522804374195607,2021-03-21 16:00:00
4.974994592452478,2021-03-21 17:00:00
5.4363781599453365,2021-03-21 18:00:00
5.504848686807278,2021-03-21 19:00:00
5.093310009308141,2021-03-21 20:00:00
5.002089043991331,2021-03-21 21:00:00
4.655291506772,2021-03-21 22:00:00
3.2280904501829943,2021-03-21 23:00:00
2.195748868658033,2021-03-22 00:00:00
1.2508040367954478,2021-03-22 01:00:00
0.6533061731596763,2021-03-22 02:00:00
0.3831897142709998,2021-03-22 03:00:00
0.3151368718296863,2021-03-22 04:00:00
0.4732748332723197,2021-03-22 05:00:00
0.9082399753615595,2021-03-22 06:00:00
4.338212164354868,2021-03-22 07:00:00
6.831344800060847,2021-03-22 08:00:00
6.72468483466568,2021-03-22 09:00:00
