em [gr/yr],Date
5.2850825505591255,2021-12-11 00:00:00
5.015599092177912,2021-12-11 01:00:00
3.2565954133647765,2021-12-11 02:00:00
2.304398855141807,2021-12-11 03:00:00
1.7686005567412417,2021-12-11 04:00:00
1.5923487353592498,2021-12-11 05:00:00
2.7802472350361422,2021-12-11 06:00:00
3.862129591006096,2021-12-11 07:00:00
5.822460967934013,2021-12-11 08:00:00
6.939045864750703,2021-12-11 09:00:00
6.551734319713001,2021-12-11 10:00:00
7.132223257566826,2021-12-11 11:00:00
10.1980567313132,2021-12-11 12:00:00
13.657083638193079,2021-12-11 13:00:00
14.68428153757088,2021-12-11 14:00:00
11.209690207559078,2021-12-11 15:00:00
7.554028027962183,2021-12-11 16:00:00
7.636454509055563,2021-12-11 17:00:00
7.755416577434417,2021-12-11 18:00:00
7.70218128964028,2021-12-11 19:00:00
6.938490848616135,2021-12-11 20:00:00
6.175746381290579,2021-12-11 21:00:00
6.202754424214566,2021-12-11 22:00:00
5.31737912084693,2021-12-11 23:00:00
4.8175020850384636,2021-12-12 00:00:00
4.818100202117105,2021-12-12 01:00:00
3.221316116690331,2021-12-12 02:00:00
2.472388265117308,2021-12-12 03:00:00
1.9966403648337008,2021-12-12 04:00:00
1.786241489809947,2021-12-12 05:00:00
2.6672257354441156,2021-12-12 06:00:00
2.4402567376880695,2021-12-12 07:00:00
2.8375560351798947,2021-12-12 08:00:00
3.6314721081760157,2021-12-12 09:00:00
3.8349939939651847,2021-12-12 10:00:00
3.8037044349023006,2021-12-12 11:00:00
4.687704171382094,2021-12-12 12:00:00
7.5541979489703,2021-12-12 13:00:00
10.67897296534898,2021-12-12 14:00:00
9.587019502214078,2021-12-12 15:00:00
8.687402646152574,2021-12-12 16:00:00
9.6172070967571,2021-12-12 17:00:00
10.382233625089532,2021-12-12 18:00:00
8.343991894080393,2021-12-12 19:00:00
5.673457932347317,2021-12-12 20:00:00
5.370945666258229,2021-12-12 21:00:00
6.714212895820052,2021-12-12 22:00:00
6.030642539872292,2021-12-12 23:00:00
2.371711998525592,2021-12-13 00:00:00
1.007579276571749,2021-12-13 01:00:00
0.43633359580045683,2021-12-13 02:00:00
0.30681084745661047,2021-12-13 03:00:00
0.2811788555212772,2021-12-13 04:00:00
0.3934984503925118,2021-12-13 05:00:00
2.758034598817553,2021-12-13 06:00:00
6.309968686933744,2021-12-13 07:00:00
11.498463295139743,2021-12-13 08:00:00
12.8767905256793,2021-12-13 09:00:00
11.945751650912904,2021-12-13 10:00:00
11.603669438980786,2021-12-13 11:00:00
11.93894532598572,2021-12-13 12:00:00
10.321401652934734,2021-12-13 13:00:00
10.661872517553196,2021-12-13 14:00:00
10.173599256079752,2021-12-13 15:00:00
12.844640434595423,2021-12-13 16:00:00
13.646265374639405,2021-12-13 17:00:00
16.34177282959657,2021-12-13 18:00:00
12.600673554394987,2021-12-13 19:00:00
11.736382793334618,2021-12-13 20:00:00
8.795016546085895,2021-12-13 21:00:00
5.965420086469018,2021-12-13 22:00:00
4.438827590055239,2021-12-13 23:00:00
2.371711998525592,2021-12-14 00:00:00
1.007579276571749,2021-12-14 01:00:00
0.43633359580045683,2021-12-14 02:00:00
0.30681084745661047,2021-12-14 03:00:00
0.2811788555212772,2021-12-14 04:00:00
0.3934984503925118,2021-12-14 05:00:00
2.758034598817553,2021-12-14 06:00:00
6.309968686933744,2021-12-14 07:00:00
11.498463295139743,2021-12-14 08:00:00
12.8767905256793,2021-12-14 09:00:00
11.945751650912904,2021-12-14 10:00:00
11.603669438980786,2021-12-14 11:00:00
11.93894532598572,2021-12-14 12:00:00
10.321401652934734,2021-12-14 13:00:00
10.661872517553196,2021-12-14 14:00:00
10.173599256079752,2021-12-14 15:00:00
12.844640434595423,2021-12-14 16:00:00
13.646265374639405,2021-12-14 17:00:00
16.34177282959657,2021-12-14 18:00:00
12.600673554394987,2021-12-14 19:00:00
11.736382793334618,2021-12-14 20:00:00
8.795016546085895,2021-12-14 21:00:00
5.965420086469018,2021-12-14 22:00:00
4.438827590055239,2021-12-14 23:00:00
2.371711998525592,2021-12-15 00:00:00
1.007579276571749,2021-12-15 01:00:00
0.43633359580045683,2021-12-15 02:00:00
0.30681084745661047,2021-12-15 03:00:00
0.2811788555212772,2021-12-15 04:00:00
0.3934984503925118,2021-12-15 05:00:00
2.758034598817553,2021-12-15 06:00:00
6.309968686933744,2021-12-15 07:00:00
11.498463295139743,2021-12-15 08:00:00
12.8767905256793,2021-12-15 09:00:00
11.945751650912904,2021-12-15 10:00:00
11.603669438980786,2021-12-15 11:00:00
11.93894532598572,2021-12-15 12:00:00
10.321401652934734,2021-12-15 13:00:00
10.661872517553196,2021-12-15 14:00:00
10.173599256079752,2021-12-15 15:00:00
12.844640434595423,2021-12-15 16:00:00
13.646265374639405,2021-12-15 17:00:00
16.34177282959657,2021-12-15 18:00:00
12.600673554394987,2021-12-15 19:00:00
11.736382793334618,2021-12-15 20:00:00
8.795016546085895,2021-12-15 21:00:00
5.965420086469018,2021-12-15 22:00:00
4.438827590055239,2021-12-15 23:00:00
2.371711998525592,2021-12-16 00:00:00
1.007579276571749,2021-12-16 01:00:00
0.43633359580045683,2021-12-16 02:00:00
0.30681084745661047,2021-12-16 03:00:00
0.2811788555212772,2021-12-16 04:00:00
0.3934984503925118,2021-12-16 05:00:00
2.758034598817553,2021-12-16 06:00:00
6.309968686933744,2021-12-16 07:00:00
11.498463295139743,2021-12-16 08:00:00
12.8767905256793,2021-12-16 09:00:00
11.945751650912904,2021-12-16 10:00:00
