em [gr/yr],Date
7.999057201880803,2021-03-17 00:00:00
3.393741500322159,2021-03-17 01:00:00
1.5010972428358538,2021-03-17 02:00:00
1.0904844950017596,2021-03-17 03:00:00
0.9967232979104668,2021-03-17 04:00:00
1.3645382086843834,2021-03-17 05:00:00
9.96975537089949,2021-03-17 06:00:00
22.35970185691447,2021-03-17 07:00:00
38.91409493804258,2021-03-17 08:00:00
43.3670669555351,2021-03-17 09:00:00
40.317712031661216,2021-03-17 10:00:00
39.13005989849731,2021-03-17 11:00:00
40.2849019728137,2021-03-17 12:00:00
33.96003892757779,2021-03-17 13:00:00
35.093525711555884,2021-03-17 14:00:00
33.574287948688536,2021-03-17 15:00:00
43.354885484003276,2021-03-17 16:00:00
46.0830678930125,2021-03-17 17:00:00
55.525904438078996,2021-03-17 18:00:00
42.63078485831419,2021-03-17 19:00:00
39.738845320174974,2021-03-17 20:00:00
29.712578078106638,2021-03-17 21:00:00
20.002284653153335,2021-03-17 22:00:00
14.944619825207038,2021-03-17 23:00:00
7.999057201880803,2021-03-18 00:00:00
3.393741500322159,2021-03-18 01:00:00
1.5010972428358538,2021-03-18 02:00:00
1.0904844950017596,2021-03-18 03:00:00
0.9967232979104668,2021-03-18 04:00:00
1.3645382086843834,2021-03-18 05:00:00
9.96975537089949,2021-03-18 06:00:00
22.35970185691447,2021-03-18 07:00:00
38.91409493804258,2021-03-18 08:00:00
43.3670669555351,2021-03-18 09:00:00
40.317712031661216,2021-03-18 10:00:00
39.13005989849731,2021-03-18 11:00:00
40.2849019728137,2021-03-18 12:00:00
33.96003892757779,2021-03-18 13:00:00
35.093525711555884,2021-03-18 14:00:00
33.574287948688536,2021-03-18 15:00:00
43.354885484003276,2021-03-18 16:00:00
46.0830678930125,2021-03-18 17:00:00
55.525904438078996,2021-03-18 18:00:00
42.63078485831419,2021-03-18 19:00:00
39.738845320174974,2021-03-18 20:00:00
29.712578078106638,2021-03-18 21:00:00
20.002284653153335,2021-03-18 22:00:00
14.944619825207038,2021-03-18 23:00:00
11.056038025798607,2021-03-19 00:00:00
4.4414006093949645,2021-03-19 01:00:00
2.083066386343935,2021-03-19 02:00:00
1.3831699139801312,2021-03-19 03:00:00
1.2498818715197764,2021-03-19 04:00:00
1.5634307532449931,2021-03-19 05:00:00
10.130040892186067,2021-03-19 06:00:00
20.97871747141636,2021-03-19 07:00:00
38.46842498904547,2021-03-19 08:00:00
44.28699797630597,2021-03-19 09:00:00
41.060268578870506,2021-03-19 10:00:00
39.88331431043595,2021-03-19 11:00:00
41.370557551615576,2021-03-19 12:00:00
36.280236710906095,2021-03-19 13:00:00
37.16707654799202,2021-03-19 14:00:00
35.57403554194675,2021-03-19 15:00:00
45.00957141767619,2021-03-19 16:00:00
48.520135247350666,2021-03-19 17:00:00
57.61322484627828,2021-03-19 18:00:00
42.93017732847223,2021-03-19 19:00:00
41.39547673035993,2021-03-19 20:00:00
33.573248751526215,2021-03-19 21:00:00
24.203385421093007,2021-03-19 22:00:00
20.113272313937486,2021-03-19 23:00:00
17.740675124829412,2021-03-20 00:00:00
16.63255269351007,2021-03-20 01:00:00
10.758558441988548,2021-03-20 02:00:00
7.612715185758452,2021-03-20 03:00:00
5.86950099163242,2021-03-20 04:00:00
5.265508060364551,2021-03-20 05:00:00
9.638018729713203,2021-03-20 06:00:00
13.415341555967258,2021-03-20 07:00:00
19.885006500059394,2021-03-20 08:00:00
23.560075682565802,2021-03-20 09:00:00
22.363443362674893,2021-03-20 10:00:00
24.328950881890183,2021-03-20 11:00:00
34.45648734160873,2021-03-20 12:00:00
45.88808847216047,2021-03-20 13:00:00
49.24865594356572,2021-03-20 14:00:00
37.81117570043765,2021-03-20 15:00:00
25.742238021957924,2021-03-20 16:00:00
26.042037314583556,2021-03-20 17:00:00
26.390659499032985,2021-03-20 18:00:00
26.193374816320024,2021-03-20 19:00:00
23.678483560307505,2021-03-20 20:00:00
21.067877766952826,2021-03-20 21:00:00
21.143641202317827,2021-03-20 22:00:00
18.0986009103841,2021-03-20 23:00:00
16.20479775082961,2021-03-21 00:00:00
16.03142746018905,2021-03-21 01:00:00
10.652961623692303,2021-03-21 02:00:00
8.170425972753037,2021-03-21 03:00:00
6.604307589518343,2021-03-21 04:00:00
5.926970501085313,2021-03-21 05:00:00
9.230643929794587,2021-03-21 06:00:00
8.495141674777997,2021-03-21 07:00:00
9.818057207125852,2021-03-21 08:00:00
12.423072986960992,2021-03-21 09:00:00
13.21796891765581,2021-03-21 10:00:00
13.214473221086763,2021-03-21 11:00:00
16.18991009019571,2021-03-21 12:00:00
25.64731283837324,2021-03-21 13:00:00
35.914881534083,2021-03-21 14:00:00
32.3622882654565,2021-03-21 15:00:00
29.339958008312493,2021-03-21 16:00:00
32.466137018283995,2021-03-21 17:00:00
34.980087532939045,2021-03-21 18:00:00
28.269717191698305,2021-03-21 19:00:00
19.494062546338814,2021-03-21 20:00:00
18.42313676803044,2021-03-21 21:00:00
22.74859191045681,2021-03-21 22:00:00
20.37306146072943,2021-03-21 23:00:00
7.999057201880803,2021-03-22 00:00:00
3.393741500322159,2021-03-22 01:00:00
1.5010972428358538,2021-03-22 02:00:00
1.0904844950017596,2021-03-22 03:00:00
0.9967232979104668,2021-03-22 04:00:00
1.3645382086843834,2021-03-22 05:00:00
9.96975537089949,2021-03-22 06:00:00
22.35970185691447,2021-03-22 07:00:00
38.91409493804258,2021-03-22 08:00:00
43.3670669555351,2021-03-22 09:00:00
40.317712031661216,2021-03-22 10:00:00
39.13005989849731,2021-03-22 11:00:00
40.2849019728137,2021-03-22 12:00:00
33.96003892757779,2021-03-22 13:00:00
35.093525711555884,2021-03-22 14:00:00
33.574287948688536,2021-03-22 15:00:00
43.354885484003276,2021-03-22 16:00:00
46.0830678930125,2021-03-22 17:00:00
55.525904438078996,2021-03-22 18:00:00
42.63078485831419,2021-03-22 19:00:00
39.738845320174974,2021-03-22 20:00:00
29.712578078106638,2021-03-22 21:00:00
20.002284653153335,2021-03-22 22:00:00
14.944619825207038,2021-03-22 23:00:00
7.999057201880803,2021-03-23 00:00:00
3.393741500322159,2021-03-23 01:00:00
1.5010972428358538,2021-03-23 02:00:00
1.0904844950017596,2021-03-23 03:00:00
0.9967232979104668,2021-03-23 04:00:00
1.3645382086843834,2021-03-23 05:00:00
9.96975537089949,2021-03-23 06:00:00
22.35970185691447,2021-03-23 07:00:00
38.91409493804258,2021-03-23 08:00:00
43.3670669555351,2021-03-23 09:00:00
40.317712031661216,2021-03-23 10:00:00
39.13005989849731,2021-03-23 11:00:00
40.2849019728137,2021-03-23 12:00:00
33.96003892757779,2021-03-23 13:00:00
35.093525711555884,2021-03-23 14:00:00
33.574287948688536,2021-03-23 15:00:00
43.354885484003276,2021-03-23 16:00:00
46.0830678930125,2021-03-23 17:00:00
55.525904438078996,2021-03-23 18:00:00
42.63078485831419,2021-03-23 19:00:00
39.738845320174974,2021-03-23 20:00:00
29.712578078106638,2021-03-23 21:00:00
20.002284653153335,2021-03-23 22:00:00
14.944619825207038,2021-03-23 23:00:00
7.999057201880803,2021-03-24 00:00:00
3.393741500322159,2021-03-24 01:00:00
1.5010972428358538,2021-03-24 02:00:00
