em [gr/hr],Date
2.414273325067667,2021-01-29 00:00:00
1.2284926636799474,2021-01-29 01:00:00
0.7068483857215622,2021-01-29 02:00:00
0.4405185543286725,2021-01-29 03:00:00
0.37237340104414796,2021-01-29 04:00:00
0.4645709968955997,2021-01-29 05:00:00
0.7646831944001413,2021-01-29 06:00:00
2.0301328848841527,2021-01-29 07:00:00
5.167873183852724,2021-01-29 08:00:00
5.549341996156372,2021-01-29 09:00:00
4.725888258034076,2021-01-29 10:00:00
4.628865825494421,2021-01-29 11:00:00
4.783691564912753,2021-01-29 12:00:00
5.125915555089816,2021-01-29 13:00:00
5.228349079853749,2021-01-29 14:00:00
5.007471782542582,2021-01-29 15:00:00
5.343149155239424,2021-01-29 16:00:00
5.825385798842473,2021-01-29 17:00:00
6.394243245375618,2021-01-29 18:00:00
6.633499621787139,2021-01-29 19:00:00
6.346367638870257,2021-01-29 20:00:00
5.594365567753352,2021-01-29 21:00:00
4.641367783607196,2021-01-29 22:00:00
3.9308941699172886,2021-01-29 23:00:00
2.9380357490832556,2021-01-30 00:00:00
2.4375482863768885,2021-01-30 01:00:00
1.7334658182330862,2021-01-30 02:00:00
1.3093300165047852,2021-01-30 03:00:00
1.0493019373135617,2021-01-30 04:00:00
0.9926556454962477,2021-01-30 05:00:00
1.0529448657110239,2021-01-30 06:00:00
1.3432845453968174,2021-01-30 07:00:00
2.2098902563194107,2021-01-30 08:00:00
3.271090374249232,2021-01-30 09:00:00
3.770804489885414,2021-01-30 10:00:00
4.1705915803213545,2021-01-30 11:00:00
4.834049356322402,2021-01-30 12:00:00
5.518242027121907,2021-01-30 13:00:00
5.980500997132924,2021-01-30 14:00:00
5.535791083218867,2021-01-30 15:00:00
4.9450723931719605,2021-01-30 16:00:00
5.031245357350556,2021-01-30 17:00:00
5.145839979206913,2021-01-30 18:00:00
5.137678890593849,2021-01-30 19:00:00
4.579273509268802,2021-01-30 20:00:00
4.186613362812481,2021-01-30 21:00:00
4.1636458437207615,2021-01-30 22:00:00
3.621010368848419,2021-01-30 23:00:00
2.141171779065055,2021-01-31 00:00:00
2.309438622266251,2021-01-31 01:00:00
1.745200225093336,2021-01-31 02:00:00
1.3834599729056856,2021-01-31 03:00:00
1.185068117883415,2021-01-31 04:00:00
1.0763206599334938,2021-01-31 05:00:00
1.0333506316885097,2021-01-31 06:00:00
0.9094575648990914,2021-01-31 07:00:00
1.1066544804958214,2021-01-31 08:00:00
1.4874774654044738,2021-01-31 09:00:00
1.8522413246263256,2021-01-31 10:00:00
2.3521864958503285,2021-01-31 11:00:00
3.035818479331314,2021-01-31 12:00:00
3.7172946120975126,2021-01-31 13:00:00
4.2676811816856866,2021-01-31 14:00:00
3.8199489231419235,2021-01-31 15:00:00
3.4437717448648346,2021-01-31 16:00:00
3.788059314976573,2021-01-31 17:00:00
4.138184876937332,2021-01-31 18:00:00
4.186990694569862,2021-01-31 19:00:00
3.8719212661586524,2021-01-31 20:00:00
3.801522505176616,2021-01-31 21:00:00
3.5399109524627734,2021-01-31 22:00:00
2.4575870159822157,2021-01-31 23:00:00
1.6670757005312604,2021-02-01 00:00:00
0.9487382344495191,2021-02-01 01:00:00
0.49571098184473417,2021-02-01 02:00:00
0.2913621198329904,2021-02-01 03:00:00
0.23972138524746434,2021-02-01 04:00:00
0.3595011814540482,2021-02-01 05:00:00
0.7023460777212971,2021-02-01 06:00:00
3.311249517320845,2021-02-01 07:00:00
5.1984397782816725,2021-02-01 08:00:00
5.1187077699413805,2021-02-01 09:00:00
4.680387857530462,2021-02-01 10:00:00
4.711985972510888,2021-02-01 11:00:00
4.795995679902766,2021-02-01 12:00:00
4.871481839632647,2021-02-01 13:00:00
4.879970718248744,2021-02-01 14:00:00
4.836710116907357,2021-02-01 15:00:00
5.167318377111342,2021-02-01 16:00:00
5.586131438039737,2021-02-01 17:00:00
6.129690770993097,2021-02-01 18:00:00
6.16516380558017,2021-02-01 19:00:00
5.500131217584482,2021-02-01 20:00:00
4.7829917039107235,2021-02-01 21:00:00
3.6249406056038747,2021-02-01 22:00:00
2.754844453356819,2021-02-01 23:00:00
1.6670757005312604,2021-02-02 00:00:00
0.9487382344495191,2021-02-02 01:00:00
0.49571098184473417,2021-02-02 02:00:00
0.2913621198329904,2021-02-02 03:00:00
0.23972138524746434,2021-02-02 04:00:00
0.3595011814540482,2021-02-02 05:00:00
0.7023460777212971,2021-02-02 06:00:00
3.311249517320845,2021-02-02 07:00:00
5.1984397782816725,2021-02-02 08:00:00
5.1187077699413805,2021-02-02 09:00:00
4.680387857530462,2021-02-02 10:00:00
4.711985972510888,2021-02-02 11:00:00
4.795995679902766,2021-02-02 12:00:00
4.871481839632647,2021-02-02 13:00:00
4.879970718248744,2021-02-02 14:00:00
4.836710116907357,2021-02-02 15:00:00
5.167318377111342,2021-02-02 16:00:00
5.586131438039737,2021-02-02 17:00:00
6.129690770993097,2021-02-02 18:00:00
6.16516380558017,2021-02-02 19:00:00
5.500131217584482,2021-02-02 20:00:00
4.7829917039107235,2021-02-02 21:00:00
3.6249406056038747,2021-02-02 22:00:00
2.754844453356819,2021-02-02 23:00:00
